noNota;noBarang;qty;harga;hargaBeli;idStok;tglExpired;diskon;diskon2;potongan;ppn;hargaJual;id;qtyTampil;hargaJualSatuan;noSatuan;indeks
BMSA2312280001;8999999042592;2;1000;816;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSA23122800010;2;1000;1;1
BMSA2312280001;8999999524814;1;5500;4238;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSA23122800011;1;5500;1;2
BMSA2312280001;8995202300060;1;12500;10500;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSA23122800012;1;12500;1;3
BMSA2312280001;1811;5;2100;1850;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSA23122800013;5;2100;1;4
BMSA2312280001;089686010947;2;3500;2757;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSA23122800014;2;3500;1;5
BMSA2312280001;8992802120029;1;43500;42069;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSA23122800015;1;43500;1;6
BMSA2312280002;089686010947;3;3500;2757;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSA23122800020;3;3500;1;1
BMSA2312280002;089686010527;3;3500;2825;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSA23122800021;3;3500;1;2
BMSA2312280003;8997008673027;1;17500;15215;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSA23122800030;1;17500;1;1
BMSA2312280004;089686535044;1;9500;8585;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSA23122800040;1;9500;1;1
BMSA2312280004;8999099920707;1;43500;42230;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSA23122800042;1;43500;1;2
BMSA2312280006;8997226225459;1;16900;14650;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSA23122800060;1;16900;1;1
BMSA2312280006;8997008673287;1;22900;20060;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSA23122800062;1;22900;1;2
BMSA2312280006;8998103011868;1;27900;25022;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSA23122800063;1;27900;1;3
BMSA2312280006;8997008673294;1;22900;20060;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSA23122800064;1;22900;1;4
BMSA2312280006;6975845764315;1;26500;23000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSA23122800065;1;26500;1;5
BMSA2312280006;4902430102247;1;31500;28199;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSA23122800066;1;31500;1;6
BMSA2312280006;8992946523564;1;28900;26085;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSA23122800067;1;28900;1;7
BMSA2312280006;8995202300077;1;18500;16500;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSA23122800069;1;18500;1;8
BMSA2312280006;8999908909404;1;37900;31949;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSA231228000610;1;37900;1;9
BMSA2312280006;8998866618304;1;18500;16600;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSA231228000611;1;18500;1;10
BMSA2312280006;8999999514617;1;20900;18626;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSA231228000612;1;20900;1;11
BMSA2312280006;8998866202053;2;8900;7852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSA231228000613;2;8900;1;12
BMSA2312280006;8992696428577;1;109500;106982;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSA231228000614;1;109500;1;13
BMSA2312280007;8992717900266;2;13500;11655;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSA23122800070;2;13500;1;1
BMSA2312280007;8999898962533;2;19500;17667;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSA23122800072;2;19500;1;2
BMSB2312280008;8991002109155;1;1500;1076;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSB23122800082;1;1500;1;3
BMSB2312280025;8994297101446;1;23500;21084;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSB23122800250;1;23500;1;1
BMSB2312280025;8998009011047;1;11500;10296;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSB23122800252;1;11500;1;2
BMSB2312280025;8992933411119;4;2500;1638;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSB23122800253;4;2500;1;3
BMSB2312280026;8992931005228;1;12000;8896;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSB23122800260;1;12000;1;1
BMSB2312280026;8999908273000;1;11500;9848;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSB23122800261;1;11500;1;2
BMSB2312280027;13925;1;15000;13600;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSB23122800271;1;15000;1;1
BMSB2312280027;8997213750308;2;3000;2084;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSB23122800272;2;3000;1;2
BMSB2312280027;8996001354124;1;2900;1765;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSB23122800273;1;2900;1;3
BMSB2312280028;8999908909206;1;17900;14677;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSB23122800280;1;17900;1;1
BMSB2312280005;8993200668243;2;8900;7677;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSB23122800050;2;8900;1;1
BMSB2312280005;8991906105758;1;32000;31000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSB23122800051;1;32000;1;2
BMSB2312280005;8992696404441;3;11000;9334;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSB23122800053;3;11000;1;3
BMSB2312280005;8992761164539;3;6500;5584;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSB23122800054;3;6500;1;4
BMSB2312280008;8993110071508;2;1000;794;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSB23122800080;2;1000;1;1
BMSB2312280008;8991002115149;1;1500;1155;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSB23122800081;1;1500;13;2
BMSB2312280008;8997204670332;1;6900;5717;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSB23122800083;1;6900;1;4
BMSB2312280008;8997027300089;1;4500;3309;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSB23122800084;1;4500;1;5
BMSB2312280008;8999999585297;1;8500;7000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSB23122800085;1;8500;1;6
BMSB2312280009;8992933214116;1;5000;4170;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSB23122800090;1;5000;1;1
BMSB2312280009;8992839913083;1;3900;2695;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSB23122800091;1;3900;1;2
BMSB2312280009;8996001304549;2;2000;1700;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSB23122800092;2;2000;1;3
BMSB2312280009;8992957220025;1;4500;3396;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSB23122800093;1;4500;1;4
BMSB2312280009;8992775717011;1;3500;2179;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSB23122800094;1;3500;1;5
BMSB2312280009;8993172000522;1;2900;1750;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSB23122800095;1;2900;1;6
BMSB2312280009;8998009010224;1;6500;5351;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSB23122800096;1;6500;1;7
BMSB2312280009;8993189270826;1;19900;18201;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSB23122800097;1;19900;1;8
BMSB2312280010;13223;1;3900;900;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BMSB23122800100;1;3900;1;1
